ANO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2020;3;108;Centros escolares;CEIP Puerto Rico;CALLE SEGURA, 74 28041 MADRID;USERA;ORCASITAS;4.389.556.114.543.370;4.468.897.524.748.010;-3.719.019;40.368.419;AMCPPRICO_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;20,1
2020;3;116;Centros escolares;CEIP Ntra Sra de la Paloma;CALLE TABERNILLAS, 2 28005 MADRID;CENTRO;PALACIO;4.396.427.023.183.110;4.473.629.386.328.640;-3.711.375;40.411.096;AMCPPALOMA_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;5823,4
2020;3;116;Centros escolares;CEIP Ntra Sra de la Paloma;CALLE TABERNILLAS, 2 28005 MADRID;CENTRO;PALACIO;4.396.427.023.183.110;4.473.629.386.328.640;-3.711.375;40.411.096;AMCPPALOMA_Gas;Externo;Gas;Gas;m3;1504,7
2020;3;116;Centros escolares;CEIP Ntra Sra de la Paloma;CALLE TABERNILLAS, 2 28005 MADRID;CENTRO;PALACIO;4.396.427.023.183.110;4.473.629.386.328.640;-3.711.375;40.411.096;AMCPPALOMA_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;0,8
2020;3;906;Centros culturales y bibliotecas;CC Conde Duque;CALLE CONDE DUQUE, 11 28015 MADRID;CENTRO;UNIVERSIDAD;43.971.607.760.348.200;4.475.426.585.031.900;-3.710.680.603.981;404.272.912.991.656;acciona_condeduque;telemedida;Energia activa;Activa Contador Gral - Bus;kWh;0
2020;3;906;Centros culturales y bibliotecas;CC Conde Duque;CALLE CONDE DUQUE, 11 28015 MADRID;CENTRO;UNIVERSIDAD;43.971.607.760.348.200;4.475.426.585.031.900;-3.710.680.603.981;404.272.912.991.656;acciona_condeduque;telemedida;Energia reactiva;Reactiva tarifa 6.1A;kVAr;0
2020;3;1174;Centros administrativos;Sede AG Hacienda;CALLE ALCALA, 45 28014 MADRID;CENTRO;JUSTICIA;44.093.723.804.780.700;4.474.516.898.001.720;-3.696.201;40.419.184;acciona_sedeaghacienda;telemedida;Energia activa;Ninguno;kWh;0
2020;3;1174;Centros administrativos;Sede AG Hacienda;CALLE ALCALA, 45 28014 MADRID;CENTRO;JUSTICIA;44.093.723.804.780.700;4.474.516.898.001.720;-3.696.201;40.419.184;acciona_sedeaghacienda;telemedida;Energia reactiva;Ninguno;kVAr;0
2020;3;1771;Centros deportivos;CDM La Mas�;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL-EL PARDO;MIRASIERRA;43.937.453.410.954.900;4.481.857.029.131.130;-37.153.208.255.768;404.851.944.115.249;AMCDMLAMASO_GeneralBT;Externo;Energia activa;Activa Interruptor Gral;kWh;77416
2020;3;1771;Centros deportivos;CDM La Mas�;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL-EL PARDO;MIRASIERRA;43.937.453.410.954.900;4.481.857.029.131.130;-37.153.208.255.768;404.851.944.115.249;AMCDMLAMASO_Gas;Externo;Gas;Gas;m3;0
2020;3;1771;Centros deportivos;CDM La Mas�;CALLE MASO, 80 (C/V VENTISQUERO DE LA CONDESA) 28034 MADRID;FUENCARRAL-EL PARDO;MIRASIERRA;43.937.453.410.954.900;4.481.857.029.131.130;-37.153.208.255.768;404.851.944.115.249;AMCDMLAMASO_GeneralBT;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;8738
2020;3;288;Centros culturales y bibliotecas;CC La Vaguada;AVENIDA� MONFORTE DE LEMOS, 38 28029 MADRID;FUENCARRAL-EL PARDO;EL PILAR;4.398.907.387.728.190;4.481.167.137.801.540;-37.091.651.558.876;404.790.171.574.762;AMLAVAGUADACCULTURAL_General_CC;Externo;Energia activa;Ninguno;kWh;17423
2020;3;288;Centros culturales y bibliotecas;CC La Vaguada;AVENIDA� MONFORTE DE LEMOS, 38 28029 MADRID;FUENCARRAL-EL PARDO;EL PILAR;4.398.907.387.728.190;4.481.167.137.801.540;-37.091.651.558.876;404.790.171.574.762;AMLAVAGUADACCULTURAL_Gas_CC;Externo;Gas;Gas;m3;0
2020;3;853;Centros culturales y bibliotecas;Biblioteca Gloria Fuertes;AVENIDA LOGRO�O, 179 28042 MADRID;BARAJAS;CORRALEJOS;4.496.621.633.752.960;4.479.050.269.466.980;-3.593.721;40.460.597;AMBIBGLORIAFUERTES_Electricidad_General* 0,572;Procesado;Energia activa;Ninguno;kWh;3010,436
2020;3;853;Centros culturales y bibliotecas;Biblioteca Gloria Fuertes;AVENIDA LOGRO�O, 179 28042 MADRID;BARAJAS;CORRALEJOS;4.496.621.633.752.960;4.479.050.269.466.980;-3.593.721;40.460.597;AMBIBGLORIAFUERTES_Gas_General* 0,6;Procesado;Gas;Gas;m3;624,54
2020;3;1763;Centros culturales y bibliotecas;Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VIC�LVARO;VALDEBERNARDO;44.729.595.784.966.900;447.232.586.548.837;-36.210.706.830.025;403.998.728.193.385;0,2077 * (AMBIBFAYALA_Enfriadora + AMBIBFAYALA_General_Clima) + AMBIBFAYALA_General_Biblioteca;Procesado;Energia activa;Ninguno;kWh;5799,7581
2020;3;1763;Centros culturales y bibliotecas;Biblioteca Francisco Ayala;BULEVAR INDALECIO PRIETO, 21 28032 MADRID;VIC�LVARO;VALDEBERNARDO;44.729.595.784.966.900;447.232.586.548.837;-36.210.706.830.025;403.998.728.193.385;0,267 * AMBIBFAYALA_Gas_General;Procesado;Gas;Gas;m3;933,9126
2020;3;1825;Centros deportivos;CDM Concepci�n;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;CONCEPCI�N;445.003.742.603.455;4.476.491.388.690.850;-3.648.441;4.043.725;AMCDMCONCEPCION_CGBT_Interruptor_General;Externo;Energia activa;Activa Interruptor Gral;kWh;20775
2020;3;1825;Centros deportivos;CDM Concepci�n;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;CONCEPCI�N;445.003.742.603.455;4.476.491.388.690.850;-3.648.441;4.043.725;AMCDMCONCEPCIONVEST_Gas_General;Externo;Gas;Ninguno;m3;8611
2020;3;1825;Centros deportivos;CDM Concepci�n;CALLE JOSE DEL HIERRO, 5 28027 MADRID;CIUDAD LINEAL;CONCEPCI�N;445.003.742.603.455;4.476.491.388.690.850;-3.648.441;4.043.725;AMCDMCONCEPCION_CGBT_Interruptor_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;5530
2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;LAS �GUILAS;4.344.998.495.017.540;4.470.564.278.982.010;-37.716.686.725.616;403.830.956.005.522;AMCDMALUCHECT_CT_General;Externo;Energia activa;Ninguno;kWh;20675
2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;LAS �GUILAS;4.344.998.495.017.540;4.470.564.278.982.010;-37.716.686.725.616;403.830.956.005.522;AMCDMALUCHECT_Gas_Piscinas;Externo;Gas;Gas;m3;260,7
2020;3;631;Centros deportivos;CDM Aluche;AVENIDA DE LAS AGUILAS, 14 28044 MADRID;LATINA;LAS �GUILAS;4.344.998.495.017.540;4.470.564.278.982.010;-37.716.686.725.616;403.830.956.005.522;AMCDMALUCHECT_CT_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;1949
2020;3;1028;Centros escolares;CEIP Madro�o;CALLE LAS MARISMAS, 14 28038 MADRID;PUENTE DE VALLECAS;NUMANCIA;4.443.867.276.747.290;4.472.608.306.362.500;-3.655.376;40.402.228;AMCPMADRONO_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;1822
2020;3;1028;Centros escolares;CEIP Madro�o;CALLE LAS MARISMAS, 14 28038 MADRID;PUENTE DE VALLECAS;NUMANCIA;4.443.867.276.747.290;4.472.608.306.362.500;-3.655.376;40.402.228;AMCPMADRONO_Gas;Externo;Gas;Gas;m3;1507,7
2020;3;1028;Centros escolares;CEIP Madro�o;CALLE LAS MARISMAS, 14 28038 MADRID;PUENTE DE VALLECAS;NUMANCIA;4.443.867.276.747.290;4.472.608.306.362.500;-3.655.376;40.402.228;AMCPMADRONO_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;54,3
2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;MEDIA LEGUA;4.445.895.301.670.020;4.473.440.919.599.180;-36.530.587.077.141;404.097.421.858.525;AMBIBMDELIBES_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;5930
2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;MEDIA LEGUA;4.445.895.301.670.020;4.473.440.919.599.180;-36.530.587.077.141;404.097.421.858.525;AMBIBMDELIBES_Gas_General;Externo;Gas;Gas;m3;1481,7
2020;3;850;Centros culturales y bibliotecas;Biblioteca Miguel Delibes;CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID;MORATALAZ;MEDIA LEGUA;4.445.895.301.670.020;4.473.440.919.599.180;-36.530.587.077.141;404.097.421.858.525;AMBIBMDELIBES_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;1259
2020;3;772;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;PALACIO;43.970.082.290.410.800;4.474.124.142.600.910;-37.107.369.303.703;404.155.572.059.031;JuntaDistritoCentroSotano_Electricidad;Externo;Energia activa;Activa Contador Gral - Bus;kWh;
2020;3;772;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;PALACIO;43.970.082.290.410.800;4.474.124.142.600.910;-37.107.369.303.703;404.155.572.059.031;JuntaDistritoCentroAzotea_Gas;Externo;Gas;Gas;m3;NO DATA
2020;3;772;Centros administrativos;JMD Centro;CALLE MAYOR, 72 28013 MADRID;CENTRO;PALACIO;43.970.082.290.410.800;4.474.124.142.600.910;-37.107.369.303.703;404.155.572.059.031;JuntaDistritoCentroSotano_Electricidad;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;
2020;3;2096;Centros culturales y bibliotecas;Biblioteca Eugenio Tr�as;PASEO FERNAN NU�EZ, 24 28009 MADRID;RETIRO;LOS JER�NIMOS;4.424.017.379.649.850;4.474.247.413.462.150;-3.678.915;40.416.859;AMBIBETRIAS_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;14630
2020;3;2096;Centros culturales y bibliotecas;Biblioteca Eugenio Tr�as;PASEO FERNAN NU�EZ, 24 28009 MADRID;RETIRO;LOS JER�NIMOS;4.424.017.379.649.850;4.474.247.413.462.150;-3.678.915;40.416.859;AMBIBETRIAS_Gas_General;Externo;Gas;Gas;m3;1266,7
2020;3;2096;Centros culturales y bibliotecas;Biblioteca Eugenio Tr�as;PASEO FERNAN NU�EZ, 24 28009 MADRID;RETIRO;LOS JER�NIMOS;4.424.017.379.649.850;4.474.247.413.462.150;-3.678.915;40.416.859;AMBIBETRIAS_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;4173
2020;3;1083;Centros mixtos;Complejo La Vaguada;AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID;FUENCARRAL-EL PARDO;EL PILAR;4.400.364.416.737.010;4.481.276.192.934.670;-37.074.566;404.800.101;AMLAVAGUADACT_Contador_General;Externo;Energia activa;Activa Contador Gral - Bus;kWh;8165
2020;3;1083;Centros mixtos;Complejo La Vaguada;AVENIDA MONFORTE DE LEMOS, 38-40 28029 MADRID;FUENCARRAL-EL PARDO;EL PILAR;4.400.364.416.737.010;4.481.276.192.934.670;-37.074.566;404.800.101;AMLAVAGUADACT_Contador_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;2693
2020;3;658;Centros escolares;CEIP Bolivia;CALLE VILLAVALIENTE, 29 28011 MADRID;LATINA;LUCERO;436.373.235.092.394;447.326.833.311.022;-374.987;404.076;AMCEIPBOLIVIA_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;2188
2020;3;658;Centros escolares;CEIP Bolivia;CALLE VILLAVALIENTE, 29 28011 MADRID;LATINA;LUCERO;436.373.235.092.394;447.326.833.311.022;-374.987;404.076;AMCEIPBOLIVIA_Gas_General;Externo;Gas;Gas;m3;84,2
2020;3;658;Centros escolares;CEIP Bolivia;CALLE VILLAVALIENTE, 29 28011 MADRID;LATINA;LUCERO;436.373.235.092.394;447.326.833.311.022;-374.987;404.076;AMCEIPBOLIVIA_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;13,8
2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SE�ORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;VENTAS;44.470.558.869.086.700;4.474.960.039.650.420;-3.651.823;40.423.435;AMBIBIFILIPINAS_Gas_General;Externo;Gas;Gas;m3;3208,74
2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SE�ORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;VENTAS;44.470.558.869.086.700;4.474.960.039.650.420;-3.651.823;40.423.435;AMBIBIFILIPINAS_Electricidad_General - AMBIBIFILIPINAS_Electricidad_CentroMayores - AMBIBIFILIPINAS_Electricidad_SocioCultural;Procesado;Energia activa;Ninguno;kWh;995
2020;3;509;Centros culturales y bibliotecas;Biblioteca La Elipa - Islas Filipinas;CALLE NUESTRA SE�ORA DEL VILLAR, 6 28017 MADRID;CIUDAD LINEAL;VENTAS;44.470.558.869.086.700;4.474.960.039.650.420;-3.651.823;40.423.435;AMBIBIFILIPINAS_Gas_General*0,429;Procesado;Gas;Gas;m3;1376,21055
2020;3;582;Centros escolares;CEIP Isaac Peral;GLORIETA RUFINO NOVALVOS, 5 28025 MADRID;CARABANCHEL;PUERTA BONITA;43.796.783.319.165.600;4.470.923.828.634.290;-373.085;403.866;AMCEIPISAACPERAL_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;2239,2
2020;3;582;Centros escolares;CEIP Isaac Peral;GLORIETA RUFINO NOVALVOS, 5 28025 MADRID;CARABANCHEL;PUERTA BONITA;43.796.783.319.165.600;4.470.923.828.634.290;-373.085;403.866;AMCEIPISAACPERAL_Gas_General;Externo;Gas;Gas;m3;1156,8
2020;3;582;Centros escolares;CEIP Isaac Peral;GLORIETA RUFINO NOVALVOS, 5 28025 MADRID;CARABANCHEL;PUERTA BONITA;43.796.783.319.165.600;4.470.923.828.634.290;-373.085;403.866;AMCEIPISAACPERAL_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;1,8
2020;3;167;Centros escolares;CEIP Ntra Sra Fuencisla;CALLE TOMELLOSO, 39 28026 MADRID;USERA;ALMENDRALES;4.407.450.145.335.650;4.470.201.385.031.260;-3.698.065;40.380.294;AMCPFUENCISLA_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;3479
2020;3;167;Centros escolares;CEIP Ntra Sra Fuencisla;CALLE TOMELLOSO, 39 28026 MADRID;USERA;ALMENDRALES;4.407.450.145.335.650;4.470.201.385.031.260;-3.698.065;40.380.294;AMCPFUENCISLA_Gas_General;Externo;Gas;Ninguno;m3;2237,8
2020;3;167;Centros escolares;CEIP Ntra Sra Fuencisla;CALLE TOMELLOSO, 39 28026 MADRID;USERA;ALMENDRALES;4.407.450.145.335.650;4.470.201.385.031.260;-3.698.065;40.380.294;AMCPFUENCISLA_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;110,4
2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;4.394.930.177.554.650;4.469.717.279.646.020;-37.127.673.625.946;403.758.429.603.234;AMCDMORCASITASOFICINAS_GeneralBT_Oficinas;Externo;Energia activa;Activa Interruptor Gral;kWh;3933
2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;4.394.930.177.554.650;4.469.717.279.646.020;-37.127.673.625.946;403.758.429.603.234;AMCDMORCASITASVERANO_GeneralBT_Verano;Externo;Energia activa;Activa Interruptor Gral;kWh;635
2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;4.394.930.177.554.650;4.469.717.279.646.020;-37.127.673.625.946;403.758.429.603.234;AMCDMORCASITASVERANO_GeneralBT_Verano;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;0
2020;3;844;Centros deportivos;CDM Orcasitas;AVENIDA RAFAELA YBARRA, 52 28026 MADRID;USERA;ZOFIO;4.394.930.177.554.650;4.469.717.279.646.020;-37.127.673.625.946;403.758.429.603.234;AMCDMORCASITASOFICINAS_GeneralBT_Oficinas;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;1542
2020;3;49;Centros escolares;CEIP Claudio Moyano;CALLE CEA BERMUDEZ, 26 28003 MADRID;CHAMBER�;VALLEHERMOSO;43.988.449.311.509.900;4.476.723.648.591.680;-3.708.818;40.438.988;AMCPCMOYANO_Electricidad_General;Externo;Energia activa;Activa Interruptor Gral;kWh;3182,7
2020;3;49;Centros escolares;CEIP Claudio Moyano;CALLE CEA BERMUDEZ, 26 28003 MADRID;CHAMBER�;VALLEHERMOSO;43.988.449.311.509.900;4.476.723.648.591.680;-3.708.818;40.438.988;AMCPCMOYANO_Gas;Externo;Gas;Gas;m3;830,4
2020;3;49;Centros escolares;CEIP Claudio Moyano;CALLE CEA BERMUDEZ, 26 28003 MADRID;CHAMBER�;VALLEHERMOSO;43.988.449.311.509.900;4.476.723.648.591.680;-3.708.818;40.438.988;AMCPCMOYANO_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.0A;kVAr;105,3
2020;3;1942;Centros deportivos;CDM San Blas;CALLE ARCOS DE JALON, 59 28037 MADRID;SAN BLAS-CANILLEJAS;HELL�N;4.480.080.569.554.040;4.475.522.171.258.500;-36.129.409.074.783;404.287.119.519.523;acciona_sanblas;telemedida;Energia activa; ;kWh;0
2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VIC�LVARO;CASCO H.VIC�LVARO;44.714.274.525.532.700;4.472.794.847.606.420;-3.622.915;40.404.088;AMCDMVALDEBERNARDO_Electricidad_General;Externo;Energia activa;Ninguno;kWh;52582
2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VIC�LVARO;CASCO H.VIC�LVARO;44.714.274.525.532.700;4.472.794.847.606.420;-3.622.915;40.404.088;AMCDMVALDEBERNARDO_Gas_Piscina;Externo;Gas;Ninguno;m3;15209,3
2020;3;1892;Centros deportivos;CDM Faustina Valladolid - Valdebernardo;CALLE LADERA DE LOS ALMENDROS, 2 28032 MADRID;VIC�LVARO;CASCO H.VIC�LVARO;44.714.274.525.532.700;4.472.794.847.606.420;-3.622.915;40.404.088;AMCDMVALDEBERNARDO_Electricidad_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;890
2020;3;2258;Centros culturales y bibliotecas;Biblioteca Ana Mar�a Matute;CALLE ISAAC ALBENIZ, 1 28019 MADRID;CARABANCHEL;SAN ISIDRO;4.388.739.152.282.310;4.472.154.355.839.190;-37.202.936.410.904;403.977.521.494.866;AMBIBAMMATUTE_General;Externo;Energia activa;Activa Interruptor Gral;kWh;13099
2020;3;2258;Centros culturales y bibliotecas;Biblioteca Ana Mar�a Matute;CALLE ISAAC ALBENIZ, 1 28019 MADRID;CARABANCHEL;SAN ISIDRO;4.388.739.152.282.310;4.472.154.355.839.190;-37.202.936.410.904;403.977.521.494.866;AMBIBAMMATUTE_General;Externo;Energia reactiva;Reactiva tarifa 3.1A;kVAr;104
2020;3;1945;Centros deportivos;CDM San Juan Bautista;CALLE TREVIANA, 1 28043 MADRID;CIUDAD LINEAL;SAN JUAN BAUTISTA;4.441.429.131.870.390;447.772.992.504.591;-3.658.699;4.044.835;AMCDMSANJUANBAUTISTA_Interruptor_General;Externo;Energia activa;Activa Interruptor Gral;kWh;18737
2020;3;1945;Centros deportivos;CDM San Juan Bautista;CALLE TREVIANA, 1 28043 MADRID;CIUDAD LINEAL;SAN JUAN BAUTISTA;4.441.429.131.870.390;447.772.992.504.591;-3.658.699;4.044.835;AMCDMSANJUANBAUTISTA_Gas_Piscina;Externo;Gas;Ninguno;m3;3361,3
